iter	Passed	Remaining
398	1699	2559
399	1700	2550
400	1701	2541
401	1702	2532
402	1703	2523
403	1704	2515
404	1705	2506
405	1707	2497
406	1708	2488
407	1709	2480
408	1710	2471
409	1712	2464
410	1714	2456
411	1716	2449
412	1718	2441
413	1719	2433
414	1720	2425
415	1722	2418
416	1724	2410
417	1726	2404
418	1729	2397
419	1730	2390
420	1732	2382
421	1733	2374
422	1734	2366
423	1735	2358
424	1737	2350
425	1738	2342
426	1739	2334
427	1743	2330
428	1745	2323
429	1746	2315
430	1748	2308
431	1749	2300
432	1750	2292
433	1751	2284
434	1753	2277
435	1754	2270
436	1757	2263
437	1759	2257
438	1761	2251
439	1763	2244
440	1764	2237
441	1766	2229
442	1767	2222
443	1768	2214
444	1770	2208
445	1773	2203
446	1775	2196
447	1777	2189
448	1778	2182
449	1780	2175
450	1781	2168
451	1782	2161
452	1783	2154
453	1786	2147
454	1788	2141
455	1789	2134
456	1790	2127
457	1791	2120
458	1792	2113
459	1794	2106
460	1795	2099
461	1796	2091
462	1797	2084
463	1798	2077
464	1800	2071
465	1802	2065
466	1804	2059
467	1806	2053
468	1807	2046
469	1809	2040
470	1811	2034
471	1812	2027
472	1813	2020
473	1815	2014
474	1818	2009
475	1819	2003
476	1821	1996
477	1822	1990
478	1823	1983
479	1824	1976
480	1826	1970
481	1827	1963
482	1828	1957
483	1830	1951
484	1832	1945
485	1833	1939
486	1834	1932
487	1836	1926
488	1837	1919
489	1838	1913
490	1839	1906
491	1840	1900
492	1841	1894
493	1842	1887
494	1845	1882
495	1846	1876
496	1848	1870
497	1850	1864
498	1851	1858
499	1852	1852
500	1853	1846
501	1854	1840
502	1855	1833
503	1857	1827
504	1858	1821
505	1860	1816
506	1862	1811
507	1863	1805
508	1864	1798
509	1866	1792
510	1867	1786
511	1868	1780
512	1869	1774
513	1870	1768
514	1871	1762
515	1873	1756
516	1874	1751
517	1876	1746
518	1877	1740
519	1878	1734
520	1880	1728
521	1881	1722
522	1882	1716
523	1883	1710
524	1884	1705
525	1885	1699
526	1886	1693
527	1888	1687
528	1890	1683
529	1892	1678
530	1894	1673
531	1895	1667
532	1897	1662
533	1898	1656
534	1899	1651
535	1901	1645
536	1902	1640
537	1904	1635
538	1906	1630
539	1908	1625
540	1909	1620
541	1911	1615
542	1912	1609
543	1914	1604
544	1915	1599
545	1916	1593
546	1918	1589
547	1921	1584
548	1923	1579
549	1924	1574
550	1925	1568
551	1926	1563
552	1927	1558
553	1928	1552
554	1930	1547
555	1931	1542
556	1932	1537
557	1935	1532
558	1936	1527
